site_no,cluster,latitude,longitude,lp3_scale,lp3_skew
07215500,6,35.94511667,-105.2557333,0.3698329254626306,-1.00452018606487
07216500,6,35.8908722,-105.1636194,0.4247066911506173,0.07520727824386643
07221500,6,35.6548333,-104.3786111,0.5071217036672839,0.01373407999600135
07227100,6,35.3443861,-103.3896056,0.3053380302271774,0.057786575424532326
07233500,7,36.20225497,-101.305993,0.7835202743938479,-1.2010347144463942
07234000,7,36.82224819,-100.5193158,1.2283089207406575,-0.9479782893294796
07238000,4,36.18337277,-98.9212057,4.330895126270396,-2.536986298104543
07239500,4,35.56310656,-97.9575498,3.520300042310635,-2.9313197944859177
07252000,4,35.57694444,-94.0152778,0.29290602034813623,-0.5696495272387536
07260500,4,35.0586111,-93.3955556,1.5641465043147498,-0.8812366309956575
07261500,4,34.8725,-93.6572222,0.31528741748853306,-0.07179528912376971
07268000,2,34.4825,-89.2244444,0.24620352298621948,-0.221974435067523
07274000,2,34.2733333,-89.5213889,0.2652941788424847,0.5270978551504805
07282000,2,33.8386111,-89.3155556,0.24751663861416787,-0.1905019425279772
07289350,2,33.19444444,-89.7711111,0.23085454674528713,-0.06773216645292889
07290000,2,32.34777778,-90.6969444,0.2330148285008178,0.07785798276254494
07292500,2,31.3247222,-91.1094444,0.28704142791221515,-0.8971128092460733
07295000,2,31.22694444,-91.2955556,0.24696316183212152,-0.9891110181879493
07295500,7,34.84867146,-102.1760295,0.886858473390294,-1.2215947522955606
07299890,7,34.93560669,-100.6965246,0.8122303076062367,-0.38365855219932543
07300000,4,34.95755294,-100.220949,0.43737732032993193,0.5410259172490502
07300500,7,34.85839374,-99.5087007,0.5576626155804277,-0.5391632724379809
07301410,7,35.47310419,-100.1209501,0.5156774963863812,-0.3170129044403077
07301500,7,35.16810838,-99.5073128,0.5411350162737675,-0.31976050598554934
07308200,7,34.1795833,-99.3233333,0.46635358377407504,-0.5794971936521318
07311500,7,34.22092454,-98.4531104,0.44659671039534116,-0.21694357628100766
07316500,7,35.62643705,-99.6684386,0.751086897201642,0.1769836474811237
07325000,4,35.5308832,-98.9670296,0.4185769938363854,0.7999861256441829
07332500,4,33.99704088,-96.2410985,0.31379664987120315,0.026144954362279798
07337900,4,34.09760677,-94.9021667,0.23766058551287825,-0.0783638727034873
07340500,4,34.045,-94.2125,3.372574987305133,-2.0551075196306376
07343000,4,33.47483009,-95.5877347,0.22511916217417868,-1.1364336487212707
07346045,4,32.7779173,-94.3574153,0.38995233694613923,-0.6283173217974786
07349000,4,32.59759468,-93.3320309,0.3573485396778854,-0.35915611491931637
07369500,2,32.43208704,-91.36678139,0.11465573059023257,-0.19676951986886643
07372200,4,31.7543363,-92.3445833,0.3522864717520584,-0.3959264462292215
07375000,2,30.6160223,-90.2486954,0.4079239461603012,0.07823134794856366
07375500,2,30.50658047,-90.3617524,0.3238298248734167,-0.09574990061849897
07375800,2,30.93073559,-90.6734317,0.4495686828123917,-0.0038795737267212026
07375960,2,30.68629707,-90.6431509,0.3147379639840588,1.1628168483325054
07376000,2,30.5038016,-90.6773163,0.3155178510096539,-0.31637084143761995
07376500,2,30.50435795,-90.545924,0.25183951598303617,0.3170958523448129
07377000,2,30.8890694,-90.8445454,0.36868853384633016,-0.21772817828299182
07378500,2,30.464079,-90.99038,0.3060767433346423,-0.2175760975983617
08013000,4,30.99666667,-92.6736111,0.33745818498105085,-0.42564331008866463
08013500,4,30.6404757,-92.8140368,0.3231611363807401,-0.6481437461342971
08014500,4,30.69875,-92.8931944,0.36505820865043076,0.01099036720161782
08014800,4,30.81880557,-93.2301619,0.40815593706951103,-0.4531941288670353
08015500,4,30.50255556,-92.9154167,0.3239787827931761,-0.4271647695838358
08017300,4,32.89790085,-96.2533118,0.35193746932556347,-1.1295534838978765
08029500,4,30.81888889,-93.7855556,0.4252473335017286,0.29149808243999387
08031000,4,30.18632045,-93.9085058,0.2815910130657797,-0.04492739486402392
08033900,4,31.86017169,-94.8232697,0.4581709576589665,-0.547282184839592
08038000,4,31.50434957,-94.3043677,0.4238466842683465,-0.38795755485766986
08039100,4,31.39629597,-94.1510289,0.3996897108073797,-0.4539986568773382
08042800,7,33.29333333,-98.079,0.44826028724517303,0.8699088248366553
08048970,4,32.60346909,-97.2650142,0.32956725063306896,-1.0571033444556215
08049700,4,32.5809695,-97.1019533,0.3642593257471439,-0.44364559332532055
08065800,4,30.8847222,-95.7777778,0.4440028255136464,-0.5950795106794601
08066200,4,30.716306,-94.9588237,0.3911807422936355,-0.2842614942002834
08066300,4,30.48138889,-94.7797222,0.46574841730272615,-0.42070292404176846
08068325,4,30.10549526,-95.5466084,0.35090031492978796,0.4435980960392356
08070000,4,30.33659809,-95.1040999,0.5377239309014465,-0.06964819587025203
08070200,4,30.14523056,-95.1246139,0.5564324164078289,0.1737458003380452
08070500,4,30.25965789,-95.3024361,0.4084050126954613,0.5033795471660342
08071000,4,30.2327137,-95.1682662,0.6130003355572856,-0.10457682882937896
08083100,7,32.78760777,-100.3887183,0.6440263202053257,-0.2950896951212672
08086212,7,32.73289717,-99.1406299,0.6095350751645844,-0.03408002949614159
08086290,7,32.64845613,-99.0045146,0.45595953556214014,-0.18215836534563487
08095300,4,31.50933179,-97.365845,0.4940365242635312,-1.337368799016112
08099300,7,32.11402957,-98.6056067,5.5667812487192805,-1.3036278213573473
08101000,4,31.2848902,-97.8850244,0.5029827351417178,-0.6590154368353301
08103800,4,31.0793403,-98.0166919,0.2953422262941174,0.7747336888951444
08104900,4,30.6257499,-97.6911204,0.6034439442990143,-0.4753648395336157
08109700,4,30.33937764,-96.9047037,0.7026864232348501,-0.3471840723773193
08110100,4,30.41965196,-96.5402466,0.5125860634583168,-0.5519958318705157
08111700,4,29.88106145,-96.2052402,0.5552587438493136,-1.1140051923755012
08120500,7,32.57372368,-100.9078941,0.4753598350356644,0.20052690877047538
08127000,7,31.74931697,-99.9478636,0.4058771185270653,0.26195630954192367
08128000,7,31.18711186,-100.5020388,1.029010935306948,-0.3062185455021751
08128400,7,31.42738264,-100.7112125,1.0382115225128263,-1.9130661121970407
08130500,7,31.27405465,-100.6309318,0.8485567271284553,0.009741840686613714
08131400,7,31.30905356,-100.4459254,1.0935325030220857,-0.2951214980750078
08133500,7,31.83013918,-100.9937215,0.7639434555140507,-0.43416195055359996
08134000,7,31.5926549,-100.6370449,0.9407577306582686,-1.057055477422152
08144500,7,30.91907405,-99.785643,4.419794637138284,-3.2268867379599206
08145000,7,31.1382357,-99.3350754,0.44522862108639294,0.7377544005413549
08146000,7,31.21322316,-98.7194871,5.86493207276613,-2.2049549661053995
08148500,7,30.5174101,-99.806179,0.921839658267952,-0.6877181989365729
08150000,7,30.50435487,-99.7345097,5.311199421007928,-1.8916595993723333
08150700,7,30.66073685,-99.1092185,0.7798359550411936,-0.3830062419714703
08150800,7,30.64351548,-99.0958848,0.646236846731815,-0.5776185384217414
08151500,7,30.7513041,-98.6697773,0.6464754026213321,-0.3826037447534374
08152000,7,30.5576991,-98.472271,0.5871149363474596,-0.551658786275848
08152900,7,30.22048584,-98.8697812,0.7360051294345181,-0.47745170111239216
08153500,7,30.29187379,-98.3994904,0.6948247630719278,-1.1108168642146508
08155200,7,30.29631587,-97.925565,0.7177941548188712,-0.64951427460105
08155300,7,30.24465306,-97.8022283,0.753044784427454,-0.7246294908185602
08158700,7,30.08298924,-98.0077859,1.079896582143696,-1.6212461888588654
08158840,7,30.20909967,-97.90336492,0.8457201491235694,-1.2956971752024127
08160800,4,29.79911967,-96.5321933,0.43705054036513175,-1.389080809992149
08163500,4,29.4432973,-96.9449819,0.45105486962629004,-0.14771858211527078
08164000,4,28.95998449,-96.6863668,0.42994762191766783,-0.07035693861689497
08164300,4,29.466908,-96.812756,0.4736908831350811,-0.7223669785695889
08164390,4,29.06553568,-96.6741434,0.35023256986498785,-0.5055083752670761
08164600,4,28.8913759,-96.8191486,0.5057129498624086,-0.8686658410022046
08165500,7,30.06993074,-99.3217122,0.9897818713933465,-0.34182937977634165
08167000,7,29.96523889,-98.8971667,0.750370454556137,-0.40062743451595156
08167500,7,29.8604957,-98.3836275,0.7358700793241637,-1.475689554587612
08171000,7,29.99438343,-98.088925,0.7554847906964791,-0.6472715179686697
08175000,4,29.2152475,-97.4494353,0.6777795121901137,-0.13127695272343218
08176900,4,28.86165308,-97.2263791,0.7633588319017175,-1.0569618266602596
08178880,7,29.72383537,-99.070035,0.8768107563898544,-0.2468200618904616
08189200,4,28.30360538,-97.1125039,0.5511739827003851,-0.8365270662461246
08189500,4,28.29193875,-97.2791751,0.6280221003655554,-1.002394788724626
08189700,4,28.28249389,-97.6208513,0.6423599678130458,-0.1012808332804872
08190000,7,29.42856679,-99.997287,0.9137078590636966,-0.4237585884116592
08190500,7,29.48108333,-100.2391667,1.8327983220268935,-0.39029346898291767
08192000,7,29.12385015,-99.8948062,1.3024318566613506,-0.7046685302409197
08194000,4,28.42637889,-99.2400322,0.43515162500830484,0.4768895634008947
08195000,7,29.48856496,-99.7047756,0.8853467862488559,-0.49778487381687847
08196000,7,29.50467576,-99.7814452,0.9986665420898789,-0.6721026940638472
08197500,4,29.2457934,-99.6744978,0.8505334995855381,-1.444401868207461
08198500,7,29.31430556,-99.4804722,1.2347715466155034,-0.8558678750503571
08200000,7,29.57003056,-99.2476889,0.9230542050508515,-0.7781309508457778
08200720,7,29.3761111,-99.1166667,1.6493089873402105,-0.653292871195487
08201500,7,29.573284,-99.4030997,0.9897489236687893,-0.31056682226839505
08202700,4,29.37078917,-99.2878185,0.8097017992668409,-1.4037440291494956
08205500,4,28.73664429,-99.1447556,0.6511611886825419,-0.31967122368250445
08206600,4,28.46749279,-98.5475174,0.7335149358424498,-0.8657037113119003
08208000,4,28.62220899,-98.2813988,0.5319983359416484,-0.0820423115213948
08212400,4,27.26448618,-98.1358378,0.9000556210954508,-0.8696265842220994
08279000,6,36.21085556,-105.9136306,0.3489652451672964,-0.7843423342267325
08289000,6,36.34974167,-106.04418611,0.28045142832242914,-0.2149546625871162
08290000,6,36.07355556,-106.1116944,0.9236268036545346,0.021985650316696415
08324000,6,35.6619833,-106.7434389,0.3123727476378625,-0.28249939229816684
08353000,6,34.41027778,-106.8544444,0.4263682779740181,-0.08178947796357938
08378500,6,35.70835,-105.6827028,0.31157530306588543,-0.13972238261467806
08379500,6,35.17866944,-105.1088028,0.33993104489489695,-0.010890118955297581
08380500,6,35.65199444,-105.3188306,0.5289600813154043,0.053476283704230645
08382500,6,35.1819611,-104.9002667,0.465671917627627,-0.7079270941200572
08383500,7,34.7300833,-104.5249111,2.530420985045595,-2.203177247856125
08387000,6,33.32669167,-105.6253333,0.46741277147929056,1.2114872611315957
08390500,6,33.34916667,-104.8516667,0.7076633131366267,-0.19013317760740833
08398500,6,32.7434472,-104.4141306,1.2556879322270653,-0.7870429793663337
08400000,6,32.67268889,-104.3689694,1.0810774963585243,-0.567850483533742
08401900,6,32.50608056,-104.3749889,0.9079564731697226,-0.8498620924456322
08405105,6,32.29043056,-104.3491667,1.0034259789647646,0.28551493663185756
08405150,6,32.40333333,-104.2294444,1.101914205025955,-0.7171158937334161
08405500,6,32.22908889,-104.1518528,0.7770715034042789,-0.45077822014668895
08408500,6,32.02314167,-104.0544556,0.6353588777098609,0.11340149146599383
08447020,7,30.45075,-101.7319167,0.98756447266839,0.07749974083094571
09010500,6,40.32581784,-105.8566791,1.3065639471355959,-0.8897106725455717
09024000,6,39.89998695,-105.7766741,0.1699293679065342,0.19294219711920474
09026500,6,39.90998657,-105.8783451,2.338181129383341,-1.5660718511691005
09036000,6,39.833875,-106.0564079,1.501903776729581,-5.1823933793795565
09047500,5,39.6053611,-105.9431306,0.18257528783909693,-0.6945035304437445
09050100,5,39.57526424,-106.1105765,0.1577980684987435,-0.501158313600904
09051050,6,39.6397087,-106.040296,0.2351967325466062,-0.17806728742906452
09059500,5,39.7957222,-106.5743472,0.167528772453251,-0.4967853475865564
09081600,5,39.23263889,-107.2275,0.13785529674590588,-0.062266358136014034
09107000,5,38.86027127,-106.5666966,0.1811583319417062,-0.7336451747245626
09110000,5,38.66443715,-106.8453172,1.4601267207643982,-0.5004524241269217
09112500,5,38.66443715,-106.848095,0.18161154123996728,-0.2865424240398419
09114500,5,38.54193567,-106.9497661,0.21220604060698414,-0.46002619065915207
09119000,5,38.5211111,-106.9409583,0.25964445722167917,-0.05137629490899899
09126000,5,38.25819444,-107.5461111,0.1769853490015618,0.5488536189012732
09132500,5,38.9258228,-107.4342211,0.21196074543361068,-0.4405680917064796
09143000,5,38.9847034,-107.8545077,0.24609586636215194,-0.20553934613903857
09147000,5,38.17776806,-107.7583927,0.29562371462255294,0.3918525187730124
09165000,5,37.63888414,-108.06036687,0.19136266107626887,-0.6851370739182167
09166500,5,37.47249579,-108.49760047,0.22938792477379585,-0.43319837180803383
09169500,5,38.3102675,-108.8853805,0.3311986501800975,-0.43300859131293107
09171100,5,38.35692324,-108.83345163,0.3475153134753107,-0.3666483785315824
09180000,5,38.79720805,-109.1951142,2.3887339233678575,-2.1355553816059896
09188500,5,43.0190833,-110.1188611,0.12888853954211277,-0.026638192021679205
09196500,5,43.02705556,-109.7735278,0.10062181655078939,-0.29345052309047753
09205000,5,42.5671427,-109.930196,1.2985830573169899,-1.2575728169342852
09210500,5,42.09580556,-110.4160833,0.23887557675538598,-0.5058998482434882
09213500,5,42.3296,-109.5119,0.48722764958875364,-1.6010459898324887
09217900,5,40.95902778,-110.5797222,0.17674596472973556,-0.3855667512691342
09220000,5,41.0538611,-110.3986389,0.1941250953786652,0.617693196465142
09223000,5,42.11088889,-110.7094167,0.22689438788604224,-0.5175737180688803
09246200,5,40.59163879,-107.3208933,0.21969112148777334,-0.8294890964802136
09253000,5,40.9993969,-107.14342567,0.18573471997212326,-0.4260544635552728
09255000,5,40.9824657,-107.3828391,0.20540477440080537,-0.362556895228802
09257000,5,41.02852778,-107.5488611,1.0518274760164736,-4.445393098342897
09260000,5,40.54901667,-108.42432222,0.22780345789432388,-0.492470341370653
09260050,5,40.45161747,-108.52512937,0.20144305431053866,-0.34638191212138303
09277500,5,40.2997472,-110.6042556,2.3626444553965125,-1.4076156618722637
09279000,5,40.4931111,-110.5772222,0.13082784608214776,-0.4092064976367937
09292500,5,40.51189299,-110.3415491,0.20911125736911043,-0.25659680072676905
09296800,5,40.5913396,-110.1143226,0.31405319346319244,0.17332331019711494
09299500,5,40.5935653,-109.9323739,0.2634269917767625,-0.10732260273803602
09304500,5,40.03359167,-107.86241944,0.1703831339038147,-0.6039273603225278
09306290,5,40.17969335,-108.5653775,0.20844750477280127,-0.429420521115615
09306500,5,39.97885629,-109.1787269,0.19142124475260786,-0.4049900273954046
09314500,5,39.26444444,-110.3427778,0.35739600380476255,-0.30873964963339645
09342500,5,37.26552778,-107.011,0.22265162720275883,1.1976872174189654
09361500,5,37.2791688,-107.8803445,0.1908152133189094,0.5927950208897679
09384000,8,34.31502222,-109.36233056,0.43210714985706883,0.47352306429996394
09385700,8,34.4505935,-109.3623199,0.495481823123806,-0.42536832927906804
09394500,8,34.7825,-110.04395833,0.3469228469177824,-0.3296709247942633
09396100,8,35.18224625,-109.4470509,0.35928219245378096,-0.5178342956301697
09397000,8,34.8978039,-110.1631768,0.33034019951549026,0.33486530186294616
09397300,8,34.90113674,-110.2554013,0.23706027908600644,0.2770969126034066
09400350,8,35.006725,-110.6542806,0.22892859762611922,0.021578719412641993
09401260,8,36.10499334,-111.2018069,0.38540415010812334,-0.9140092847054259
09405500,8,37.2097046,-112.9785512,0.32070420508736,-0.24524588542717046
09406000,8,37.2041494,-113.1807789,0.3071132743142096,0.023881387299477627
09408150,5,37.16276007,-113.3952285,2.4053466549409674,-1.4655529644790184
09415000,8,36.8916437,-113.9244098,0.39729567954595785,0.3021559191228562
09416000,8,36.7110817,-114.6952715,0.5597391775542575,0.9100668160029234
09419000,8,36.64302844,-114.5397075,0.6435092369931589,0.028510153792039875
09424450,8,34.4625286,-113.6243843,0.8473127242010731,-1.3906973310232473
09424900,8,34.3058675,-113.3471532,0.6071763517442368,-0.5456057015525275
09430500,8,33.06150278,-108.5373861,0.5643552301766487,0.13489270414073115
09431500,8,32.72694444,-108.6755556,0.4113076314028301,-0.334305482056732
09432000,8,32.64630833,-108.8468472,0.43722539156347795,-0.18437246707888114
09439000,8,32.72444444,-109.0991667,0.4409889402343034,-0.04135055611365489
09444500,8,33.05604444,-109.2990167,0.5513383508693849,0.10118245180028577
09447000,8,33.06615,-109.444975,0.6281803564001601,-0.18685082770736358
09447800,8,32.9556458,-109.5312047,0.9588101020147818,-0.8605970364780043
09448500,8,32.8827222,-109.4796056,0.4754176326107393,0.1358576536255184
09466500,8,33.18563615,-110.22011421,0.5424580962814235,0.4337737746760132
09468500,8,33.29646536,-110.4515103,0.47394425112693955,-0.35656637922324164
09471380,8,31.63201389,-110.4020472,0.7187183573911108,-2.69561280558586
09471400,8,31.70051389,-110.2275778,0.4795783615933529,0.30477642168405455
09473000,8,32.84467778,-110.6292861,0.38960772873183064,0.3370317112081769
09484000,8,32.3147222,-110.8109167,0.49605874382305476,-0.11899249373462008
09484500,8,32.26425556,-110.8413,0.8130824335974454,-1.026822667311949
09484550,8,31.86555556,-110.57,0.5030042885819618,0.7341719595762923
09484600,8,32.03594255,-110.677618,0.4844184467663398,-0.3746872238083709
09485000,8,32.12976667,-110.6258333,0.6657968685319423,-0.6879362005998851
09485450,8,32.22083056,-110.8289278,0.6275478517924257,-0.8028911706006295
09485700,8,32.27149027,-110.91457064,0.4346538240277473,-1.0692599442664579
09486055,8,32.3027611,-111.011375,0.45169671197156386,-0.7385014281967973
09486350,8,32.33621,-111.0420746,0.4354819602298263,0.06347237463606747
09486800,8,31.83908056,-111.4042667,0.32184238408800614,0.0662188838863016
09487000,8,32.0756601,-111.3387473,0.4427762843053487,-0.8759837926807693
09496500,8,33.98589336,-110.2809554,0.5157961587350121,-0.13570407810112706
09497500,8,33.79811903,-110.49984888,0.4697841743635121,0.16141670170556674
09497980,8,33.8278262,-110.8562266,0.5736176706755279,-0.0963007566146205
09498500,8,33.61916667,-110.92208333,0.505512210701966,0.13655365578093645
09499000,8,33.98005443,-111.30348355,0.5400240164191717,-0.26663369889739874
