site_no,cluster,latitude,longitude,action_aep,flood_aep,moderate_aep,major_aep
06425500,4,44.24831768,-102.5032217,0.3873509666262168,0.22856809567541686,0.1685773292837203,0.1205042104937852
06426500,5,44.32188385,-104.9406108,0.2688645103924771,0.1916706218693548,0.12766917031687064,0.0012279112756421878
06430500,5,44.5718625,-104.0536449,0.061246352605250555,0.03382664571929024,0.03382664571929024,0.03382664571929024
06430800,5,44.32749778,-103.894532,0.010742864620844986,0.010742864620844986,0.010742864620844986,0.010742864620844986
06430850,5,44.3496865,-103.9359118,0.012536374451184377,0.00923298643012965,0.00923298643012965,0.00923298643012965
06433000,5,44.66720665,-103.8393696,0.07402068175973446,0.03829648362187753,0.02865945753034942,0.031040410464371785
06437020,5,44.3355403,-103.6354716,0.19386413414719517,0.035482793087511226,0.012903081317875981,0.007450978662187845
06439000,4,44.74304495,-102.0534948,0.1442160139577909,0.07668983316223184,0.04691216239554983,0.014558546250666703
06440200,4,43.9690175,-101.767229,0.5092672396444151,0.30055838696531045,0.045657930354633655,0.017942313104692402
06441500,4,44.32662738,-100.3843468,0.29456600080414946,0.2528323759869761,0.12520199959077144,0.0815500538664759
06445685,4,43.013036,-102.8357327,0.2948374251723442,0.20324424056436075,0.06320479657803393,0.046867543660207185
06446000,4,43.25484357,-102.8273511,0.2898327060807937,0.1798734179895715,0.12725070984204195,0.0067061747574880095
06446500,4,43.69388346,-101.9326516,0.5411398347836255,0.15693073287240358,0.14411784940242994,0.06858872732759719
06446700,4,43.53666558,-101.7985923,0.13344334015787676,0.038650769487518874,0.006176573380934749,0.006176573380934749
06447000,4,43.7524949,-101.5248665,0.46275992900211904,0.3456954799701675,0.23258337207896312,0.05292270197546243
06447500,4,43.1669155,-101.6327322,0.140439872520452,0.07717976079132993,0.05113215902307984,0.02766909693448502
06449100,4,43.10069918,-101.232234,0.07356461453307199,0.02853237650961302,0.015067046166752434,0.009355085309911597
06449500,4,43.3255586,-100.8837556,0.19773048932729853,0.07854441143107295,0.03725138083785758,0.021132121149613322
06450500,4,43.60138549,-100.7498608,0.05710544582307023,0.03434167460954559,0.021223090818205857,0.02715419594387799
06452000,4,43.74832745,-99.5564948,0.544626885618647,0.29260441234274126,0.042126601602233214,0.016143870116211975
06452320,4,43.3272192,-98.9706446,0.11101372333741703,0.07603033277113103,0.052276177618000116,0.034633635631083765
06453600,4,42.81086111,-98.17539722,0.4070999376682553,0.28559901351577405,0.1678944683862755,0.06325505009130544
06463500,4,42.68963611,-99.67944722,0.07873889700649604,0.041915470165847665,0.024266559030062407,0.01498705265473812
06464500,4,43.0270872,-99.780921,0.07761398678480097,0.026592931536280326,0.01310203728615971,0.008903655789647445
06466400,4,42.61573056,-97.87807222,0.09156838082269793,0.04016141496331694,0.012816571148759563,0.012816571148759563
06468170,4,47.5580525,-98.862885,0.3296443543678908,0.18083485110895076,0.086109382680255,0.05542154012726818
06468250,4,47.3997189,-98.7976057,0.42065517931506113,0.3058182727604563,0.15006859537833703,0.07338149193638512
06469400,4,47.1674635,-98.9690423,0.32421558442880244,0.14850898442739363,0.012017385986190838,0.005920112599242319
06471200,4,45.93886156,-98.4526004,0.29418542889268207,0.2235944996250756,0.07735707494083513,0.0472882751389101
