method,cluster,target,n,cv_r2_mean,cv_r2_std
K-Means,5,flood_rp,289,0.09319459888922874,0.04319360617936634
K-Means,6,flood_rp,131,-0.15421627333519491,0.1748868027879676
K-Means,7,flood_rp,97,-0.2733396542324734,0.3109758677817339
K-Means,8,flood_rp,17,,
Global,all,moderate_rp,1024,0.0661347100052286,0.053239527845571274
SKATER,1,moderate_rp,316,0.0473026819739625,0.1539698431619076
SKATER,2,moderate_rp,35,-1.3907273937681541,1.3276869849633246
SKATER,3,moderate_rp,278,-0.11818849589104596,0.10047998680655343
SKATER,4,moderate_rp,95,0.07849470646518801,0.29215412950585784
SKATER,5,moderate_rp,66,0.09405764308830603,0.06370526355673367
SKATER,6,moderate_rp,101,-0.6904449173421666,1.2892274207992078
SKATER,7,moderate_rp,37,-0.22846036310516196,0.4581877515889981
SKATER,8,moderate_rp,96,-0.6592747013214837,1.2091937945477071
Ward,1,moderate_rp,307,-0.005531728964697868,0.06995013865885219
Ward,2,moderate_rp,220,-0.17673560202673205,0.1192385517138178
Ward,3,moderate_rp,54,-0.6166099291110514,0.4529042319288141
Ward,4,moderate_rp,21,,
Ward,5,moderate_rp,286,0.01746078685711565,0.10688797808888437
Ward,6,moderate_rp,15,,
Ward,7,moderate_rp,93,-0.24339368027443609,0.29383748316836555
Ward,8,moderate_rp,28,,
K-Means,1,moderate_rp,194,-0.05671811802833797,0.0801063180623745
K-Means,2,moderate_rp,41,0.2038984870617439,0.20088850508898984
K-Means,3,moderate_rp,233,-0.057763752374632424,0.1400500986893753
K-Means,4,moderate_rp,22,,
K-Means,5,moderate_rp,289,-0.02961604867486316,0.05558731564462736
K-Means,6,moderate_rp,131,-0.02776001707196323,0.1652834161787572
K-Means,7,moderate_rp,97,-0.16520445698021374,0.2359504899959858
K-Means,8,moderate_rp,17,,
Global,all,major_rp,1024,0.006034975663165932,0.013664642107242286
SKATER,1,major_rp,316,-0.08095023861655797,0.04516409097463722
SKATER,2,major_rp,35,-0.7424849027712971,0.5395925111026763
SKATER,3,major_rp,278,-0.13386159893483277,0.0591239728043034
SKATER,4,major_rp,95,0.05887607740853971,0.15216062336942823
SKATER,5,major_rp,66,-0.001619240801926347,0.17308536562839014
SKATER,6,major_rp,101,-0.24576422956016652,0.35967843792721776
SKATER,7,major_rp,37,-0.4258059765013691,0.6851217456001799
SKATER,8,major_rp,96,-1.089715686071853,2.387291602307208
Ward,1,major_rp,307,-0.0174450194593301,0.10006067871601622
Ward,2,major_rp,220,-0.12952610021873534,0.05619311668180968
Ward,3,major_rp,54,-0.4854525886239006,0.23618215582668484
Ward,4,major_rp,21,,
Ward,5,major_rp,286,-0.06194043995198624,0.05853900960606555
Ward,6,major_rp,15,,
Ward,7,major_rp,93,-0.09755841488328083,0.11328264024834106
Ward,8,major_rp,28,,
K-Means,1,major_rp,194,-0.13041476698148363,0.08630490014626868
K-Means,2,major_rp,41,-0.1477464819771555,0.2566542007111503
K-Means,3,major_rp,233,-0.07140865155029319,0.05470172120907998
K-Means,4,major_rp,22,,
K-Means,5,major_rp,289,-0.02614386033487457,0.1091822542885163
K-Means,6,major_rp,131,-0.02567229894747569,0.18789395220729047
K-Means,7,major_rp,97,-0.2764903897731403,0.18270171399318763
K-Means,8,major_rp,17,,
